Navn;Ticker;ISIN;Valuta;I dag %;I dag +/-;Siste;;Kjøp;Selg;Høy;Lav;Omsetning;1 uke %;1 måned %;3 måneder %;i år %;1 år %;3 år %;5 år %;10 år %;PE;PS;PB;EPS;Direkteavkastning %;Dividend Per Share;Belåningsgrad %;Kan shortes;Market Cap;Antall eiere;Report Description;General Meeting Date;Excluding Date;Dividend Date;Dividend Amount
ALK-Abelló B A/S;ALK B;DK0061802139;DKK;−1,29;−2,1;160,6;162,7;160,6;160,6;163,1;157,8;22525671,4;2,23;−3,49;−5,47;0,94;56,68;−6,36;93,61;380,12;43,19;6,61;8,01;3,7;0;0;70;Ja;35384438496;13392;19.2.2025 (Kvartalsrapport (4. kvartal));13.3.2025;;; 
TROPHY GAMES Development A/S;TGAMES;DK0061537206;DKK;−0,82;−0,05;6,05;6,1;6;6,15;6,15;5,9;131485,2;0,83;−18,24;−22,44;0,83;55,13;19,09;;;14,88;2,29;3,18;0,41;0;0;0;Nei;168360000;1517;;;;; 
Netcompany Group A/S;NETC;DK0060952919;DKK;−1,61;−5,6;341,4;347;341,4;341,4;348,6;340;25949487,7;1,79;−6,21;13,2;0,71;52,89;−51,54;8,73;;40,26;2,67;4,49;8,55;0;0;80;Ja;17220000000;10339;28.1.2025 (Kvartalsrapport (4. kvartal));5.3.2025;;; 
Skjern Bank A/S;SKJE;DK0010295922;DKK;2,83;6;218;212;218;218;219;211;4949844;5,31;42,48;27,49;3,81;50,34;110,63;247,13;479,79;7,49;3,22;1,3;28,57;2,34;5;30;Nei;2053320000;1262;6.2.2025 (Kvartalsrapport (4. kvartal));3.3.2025;;; 
Park Street A/S A;PARKST A;DK0010158500;DKK;;;0;12;11,8;12;0;0;0;−1,64;−9,09;−10,45;;50;−14,89;71,43;471,43;−31,58;4,16;0,65;−0,38;0;0;0;Nei;686106864;153;4.4.2025 (Kvartalsrapport (4. kvartal));28.4.2025;;; 
Per Aarsleff Holding A/S B;PAAL B;DK0060700516;DKK;−2,01;−10;488;498;488;488;497,5;486,5;10148880;−1,41;3,61;24,49;−2,79;49,92;59,74;126,98;319,24;11,57;0,43;1,86;42,35;2,24;11;70;Ja;9591750000;3346;28.2.2025 (Kvartalsrapport (1. kvartal));30.1.2025;31.1.2025;4.2.2025;11,00 DKK
Columbus A/S;COLUM;DK0010268366;DKK;−0,95;−0,1;10,4;10,5;10,4;10,4;10,65;10,3;484887,45;4;0;−7,96;3,48;46,07;9,01;8,9;116,67;38,15;0,8;1,86;0,27;1,21;0,12;50;Nei;1331545519;1625;13.3.2025 (Kvartalsrapport (4. kvartal));29.4.2025;;; 
SP Group A/S;SPG;DK0061027356;DKK;0,33;1;308;307;308;308;309,5;305;2336578;2,67;−1,44;−6,1;0,16;43,93;−30,16;18,92;560,94;14,92;1,34;2,61;20,51;0,98;3;50;Ja;3821940000;1290;31.3.2025 (Kvartalsrapport (4. kvartal));24.4.2025;;; 
TCM Group A/S;TCM;DK0060915478;DKK;−0,3;−0,2;65,6;65,8;65,6;66,2;68;65,2;111483,8;0,92;4,79;−8,38;−2,09;43,54;−58,74;−49,15;;17,92;0,56;1,29;3,66;0;0;50;Nei;689694653;619;28.2.2025 (Kvartalsrapport (4. kvartal));9.4.2025;;; 
Pandora A/S;PNDORA;DK0060252690;DKK;−0,15;−2;1318;1320;1318;1318;1329,5;1312;192812703,7;1,82;13,23;23,93;0,08;40,81;61,64;349,83;158,69;21,51;3,56;20,32;61,69;1,47;19,54;75;Ja;108568000000;8978;5.2.2025 (Kvartalsrapport (4. kvartal));12.3.2025;;; 
Danske Andelskassers Bank A/S;DAB;DK0060299063;DKK;0,35;0,05;14,3;14,25;14,2;14,3;14,5;14,1;481780,65;1,06;11,28;13,04;0,35;36,84;36,61;113,71;176,87;10,14;4;1,12;1,4;2,61;0,37;40;Nei;3167945791;624;;;;; 
Dantax A/S;DANT;DK0015205637;DKK;1,39;6;438;432;426;438;438;438;3504;2,34;7,88;−13,27;1,86;36,02;−15,77;100,92;351,55;14,45;4,9;1,63;29,9;7,41;32;0;Nei;129600000;138;4.2.2025 (Kvartalsrapport (2. kvartal));28.10.2025;;; 
Embla Medical hf;EMBLA;IS0000000040;DKK;−0,83;−0,3;36;36,3;36;36;36,4;34,9;982731,2;1,98;1,98;10,77;1,12;35,34;−14,89;−32,96;102,25;33,39;2,74;3,21;1,07;0;0;70;Nei;15266609555;2665;5.2.2025 (Kvartalsrapport (4. kvartal));12.3.2025;;; 
